Geneid	GeneName	NewName	9_SC1	10_Ssh1	11_SC2	12_Ssh2
ENSG00000000003	TSPAN6	ENSG00000000003_TSPAN6	1171	745	659	835
ENSG00000000005	TNMD	ENSG00000000005_TNMD	0	0	0	0
ENSG00000000419	DPM1	ENSG00000000419_DPM1	2527	1387	1451	1965
ENSG00000000457	SCYL3	ENSG00000000457_SCYL3	408	313	191	337
ENSG00000000460	C1orf112	ENSG00000000460_C1orf112	1266	336	456	490
ENSG00000000938	FGR	ENSG00000000938_FGR	0	3	0	0
ENSG00000000971	CFH	ENSG00000000971_CFH	0	4	4	19
ENSG00000001036	FUCA2	ENSG00000001036_FUCA2	668	516	393	740
ENSG00000001084	GCLC	ENSG00000001084_GCLC	1420	953	1036	1466
ENSG00000001167	NFYA	ENSG00000001167_NFYA	3524	2150	2217	3031
ENSG00000001460	STPG1	ENSG00000001460_STPG1	324	382	246	466
ENSG00000001461	NIPAL3	ENSG00000001461_NIPAL3	2035	1321	1197	1785
ENSG00000001497	LAS1L	ENSG00000001497_LAS1L	2380	1074	1470	1327
ENSG00000001561	ENPP4	ENSG00000001561_ENPP4	23	26	23	36
ENSG00000001617	SEMA3F	ENSG00000001617_SEMA3F	607	680	364	610
ENSG00000001626	CFTR	ENSG00000001626_CFTR	0	0	0	0
ENSG00000001629	ANKIB1	ENSG00000001629_ANKIB1	3571	2172	1739	2574
ENSG00000001630	CYP51A1	ENSG00000001630_CYP51A1	182	331	206	356
ENSG00000001631	KRIT1	ENSG00000001631_KRIT1	368	180	146	184
ENSG00000002016	RAD52	ENSG00000002016_RAD52	353	268	199	166
ENSG00000002079	MYH16	ENSG00000002079_MYH16	61	17	25	23
ENSG00000002330	BAD	ENSG00000002330_BAD	1382	1662	1204	1300
ENSG00000002549	LAP3	ENSG00000002549_LAP3	1775	1227	875	1947
ENSG00000002586	CD99	ENSG00000002586_CD99	2536	2579	2444	2982
ENSG00000002587	HS3ST1	ENSG00000002587_HS3ST1	210	171	154	206
ENSG00000002726	AOC1	ENSG00000002726_AOC1	2	5	0	2
ENSG00000002745	WNT16	ENSG00000002745_WNT16	1	0	0	0
ENSG00000002746	HECW1	ENSG00000002746_HECW1	77	82	51	70
ENSG00000002822	MAD1L1	ENSG00000002822_MAD1L1	41	47	36	58
ENSG00000002834	LASP1	ENSG00000002834_LASP1	9789	6899	5611	7074
ENSG00000002919	SNX11	ENSG00000002919_SNX11	618	470	363	660
ENSG00000002933	TMEM176A	ENSG00000002933_TMEM176A	0	0	0	0
ENSG00000003056	M6PR	ENSG00000003056_M6PR	2994	1817	1798	2769
ENSG00000003096	KLHL13	ENSG00000003096_KLHL13	453	265	181	307
ENSG00000003137	CYP26B1	ENSG00000003137_CYP26B1	6	40	23	52
ENSG00000003147	ICA1	ENSG00000003147_ICA1	78	76	59	59
ENSG00000003249	DBNDD1	ENSG00000003249_DBNDD1	211	402	142	274
ENSG00000003393	ALS2	ENSG00000003393_ALS2	1581	1156	986	1677
ENSG00000003400	CASP10	ENSG00000003400_CASP10	335	297	252	375
ENSG00000003402	CFLAR	ENSG00000003402_CFLAR	716	641	373	583
ENSG00000003436	TFPI	ENSG00000003436_TFPI	0	0	0	2
ENSG00000003509	NDUFAF7	ENSG00000003509_NDUFAF7	451	318	227	377
ENSG00000003756	RBM5	ENSG00000003756_RBM5	2648	1488	1375	1568
ENSG00000003987	MTMR7	ENSG00000003987_MTMR7	0	0	2	1
ENSG00000003989	SLC7A2	ENSG00000003989_SLC7A2	291	100	112	122
ENSG00000004059	ARF5	ENSG00000004059_ARF5	6100	5414	4107	5457
ENSG00000004139	SARM1	ENSG00000004139_SARM1	539	911	413	868
ENSG00000004142	POLDIP2	ENSG00000004142_POLDIP2	5547	4148	3129	5167
ENSG00000004399	PLXND1	ENSG00000004399_PLXND1	1331	1075	860	1433
ENSG00000004455	AK2	ENSG00000004455_AK2	6381	4235	4308	5452
ENSG00000004468	CD38	ENSG00000004468_CD38	4	13	13	28
ENSG00000004478	FKBP4	ENSG00000004478_FKBP4	9070	4014	4814	7904
ENSG00000004487	KDM1A	ENSG00000004487_KDM1A	5735	4233	3339	4900
ENSG00000004534	RBM6	ENSG00000004534_RBM6	2494	1453	1604	2139
ENSG00000004660	CAMKK1	ENSG00000004660_CAMKK1	494	369	262	350
ENSG00000004700	RECQL	ENSG00000004700_RECQL	1895	1060	1139	1702
ENSG00000004766	VPS50	ENSG00000004766_VPS50	1056	672	640	842
ENSG00000004776	HSPB6	ENSG00000004776_HSPB6	0	4	1	10
ENSG00000004777	ARHGAP33	ENSG00000004777_ARHGAP33	455	150	197	113
ENSG00000004779	NDUFAB1	ENSG00000004779_NDUFAB1	1922	1252	1314	1923
ENSG00000004799	PDK4	ENSG00000004799_PDK4	14	40	3	29
ENSG00000004809	SLC22A16	ENSG00000004809_SLC22A16	0	0	0	0
ENSG00000004838	ZMYND10	ENSG00000004838_ZMYND10	16	15	2	9
ENSG00000004846	ABCB5	ENSG00000004846_ABCB5	16	10	10	5
ENSG00000004848	ARX	ENSG00000004848_ARX	0	2	0	0
ENSG00000004864	SLC25A13	ENSG00000004864_SLC25A13	1549	672	727	790
ENSG00000004866	ST7	ENSG00000004866_ST7	1004	765	640	898
ENSG00000004897	CDC27	ENSG00000004897_CDC27	4330	2127	2061	2325
ENSG00000004939	SLC4A1	ENSG00000004939_SLC4A1	1	2	2	4
ENSG00000004948	CALCR	ENSG00000004948_CALCR	0	0	0	0
ENSG00000004961	HCCS	ENSG00000004961_HCCS	1161	731	623	929
ENSG00000004975	DVL2	ENSG00000004975_DVL2	2040	2182	1221	2286
ENSG00000005001	PRSS22	ENSG00000005001_PRSS22	372	651	182	633
ENSG00000005007	UPF1	ENSG00000005007_UPF1	4827	3735	2927	4408
ENSG00000005020	SKAP2	ENSG00000005020_SKAP2	576	393	307	401
ENSG00000005022	SLC25A5	ENSG00000005022_SLC25A5	17925	9537	10947	12826
ENSG00000005059	MCUB	ENSG00000005059_MCUB	806	269	483	391
ENSG00000005073	HOXA11	ENSG00000005073_HOXA11	35	22	23	49
ENSG00000005075	POLR2J	ENSG00000005075_POLR2J	1413	755	758	791
ENSG00000005100	DHX33	ENSG00000005100_DHX33	2611	1140	1306	1716
ENSG00000005102	MEOX1	ENSG00000005102_MEOX1	46	45	32	57
ENSG00000005108	THSD7A	ENSG00000005108_THSD7A	16	5	1	8
ENSG00000005156	LIG3	ENSG00000005156_LIG3	1760	874	990	1170
ENSG00000005175	RPAP3	ENSG00000005175_RPAP3	1720	972	947	1320
ENSG00000005187	ACSM3	ENSG00000005187_ACSM3	139	42	61	86
ENSG00000005189	REXO5	ENSG00000005189_REXO5	130	50	66	65
ENSG00000005194	CIAPIN1	ENSG00000005194_CIAPIN1	3021	1979	1850	2511
ENSG00000005206	SPPL2B	ENSG00000005206_SPPL2B	884	743	502	394
ENSG00000005238	FAM214B	ENSG00000005238_FAM214B	368	671	540	1080
ENSG00000005243	COPZ2	ENSG00000005243_COPZ2	120	308	107	332
ENSG00000005249	PRKAR2B	ENSG00000005249_PRKAR2B	40	33	19	42
ENSG00000005302	MSL3	ENSG00000005302_MSL3	1011	541	566	854
ENSG00000005339	CREBBP	ENSG00000005339_CREBBP	3383	1913	1685	2995
ENSG00000005379	TSPOAP1	ENSG00000005379_TSPOAP1	311	622	237	552
ENSG00000005381	MPO	ENSG00000005381_MPO	84	26	66	90
ENSG00000005421	PON1	ENSG00000005421_PON1	0	0	0	0
ENSG00000005436	GCFC2	ENSG00000005436_GCFC2	788	275	323	269
ENSG00000005448	WDR54	ENSG00000005448_WDR54	686	683	538	718
ENSG00000005469	CROT	ENSG00000005469_CROT	1961	1576	729	1032
ENSG00000005471	ABCB4	ENSG00000005471_ABCB4	0	3	0	1
ENSG00000005483	KMT2E	ENSG00000005483_KMT2E	1939	1055	903	1041
ENSG00000005486	RHBDD2	ENSG00000005486_RHBDD2	2427	3344	1765	3498
ENSG00000005513	SOX8	ENSG00000005513_SOX8	1	0	5	4
ENSG00000005700	IBTK	ENSG00000005700_IBTK	1658	1291	1494	1595
ENSG00000005801	ZNF195	ENSG00000005801_ZNF195	542	306	316	388
ENSG00000005810	MYCBP2	ENSG00000005810_MYCBP2	3056	1617	1412	2662
ENSG00000005812	FBXL3	ENSG00000005812_FBXL3	1186	676	564	932
ENSG00000005844	ITGAL	ENSG00000005844_ITGAL	0	0	0	0
ENSG00000005882	PDK2	ENSG00000005882_PDK2	609	707	359	586
ENSG00000005884	ITGA3	ENSG00000005884_ITGA3	17232	11259	13574	13405
ENSG00000005889	ZFX	ENSG00000005889_ZFX	1276	621	551	791
ENSG00000005893	LAMP2	ENSG00000005893_LAMP2	3738	2788	2043	2951
ENSG00000005961	ITGA2B	ENSG00000005961_ITGA2B	57	38	29	23
ENSG00000005981	ASB4	ENSG00000005981_ASB4	0	1	0	2
ENSG00000006007	GDE1	ENSG00000006007_GDE1	3176	2749	1529	3024
ENSG00000006015	REX1BD	ENSG00000006015_REX1BD	264	265	204	159
ENSG00000006016	CRLF1	ENSG00000006016_CRLF1	248	339	213	334
ENSG00000006025	AC003665.1	ENSG00000006025_AC003665.1	471	543	411	519
ENSG00000006042	TMEM98	ENSG00000006042_TMEM98	613	409	395	473
ENSG00000006047	YBX2	ENSG00000006047_YBX2	198	214	93	219
ENSG00000006059	KRT33A	ENSG00000006059_KRT33A	1	2	0	0
ENSG00000006062	MAP3K14	ENSG00000006062_MAP3K14	667	446	374	347
ENSG00000006071	ABCC8	ENSG00000006071_ABCC8	0	0	0	0
ENSG00000006116	CACNG3	ENSG00000006116_CACNG3	0	0	0	0
ENSG00000006118	TMEM132A	ENSG00000006118_TMEM132A	1831	2249	1114	1901
ENSG00000006125	AP2B1	ENSG00000006125_AP2B1	15082	10409	8088	14370
ENSG00000006128	TAC1	ENSG00000006128_TAC1	0	0	0	0
ENSG00000006194	ZNF263	ENSG00000006194_ZNF263	1371	1085	908	1560
ENSG00000006210	CX3CL1	ENSG00000006210_CX3CL1	26	35	3	24
ENSG00000006282	SPATA20	ENSG00000006282_SPATA20	1641	2565	1129	1880
ENSG00000006283	CACNA1G	ENSG00000006283_CACNA1G	11	12	5	15
ENSG00000006327	TNFRSF12A	ENSG00000006327_TNFRSF12A	4189	3101	3515	4027
ENSG00000006377	DLX6	ENSG00000006377_DLX6	14	16	14	13
ENSG00000006432	MAP3K9	ENSG00000006432_MAP3K9	797	702	426	1258
ENSG00000006451	RALA	ENSG00000006451_RALA	3158	2126	1741	2638
ENSG00000006453	BAIAP2L1	ENSG00000006453_BAIAP2L1	2191	1940	1488	2223
ENSG00000006459	KDM7A	ENSG00000006459_KDM7A	214	203	205	480
ENSG00000006468	ETV1	ENSG00000006468_ETV1	647	161	425	502
ENSG00000006530	AGK	ENSG00000006530_AGK	1524	1131	1161	1438
ENSG00000006534	ALDH3B1	ENSG00000006534_ALDH3B1	202	755	147	385
ENSG00000006555	TTC22	ENSG00000006555_TTC22	450	530	252	483
ENSG00000006576	PHTF2	ENSG00000006576_PHTF2	1974	790	854	1028
ENSG00000006606	CCL26	ENSG00000006606_CCL26	0	3	0	3
ENSG00000006607	FARP2	ENSG00000006607_FARP2	1878	1041	878	1315
ENSG00000006611	USH1C	ENSG00000006611_USH1C	0	1	0	0
ENSG00000006625	GGCT	ENSG00000006625_GGCT	2211	1019	1054	1330
ENSG00000006634	DBF4	ENSG00000006634_DBF4	3168	632	1189	822
ENSG00000006638	TBXA2R	ENSG00000006638_TBXA2R	76	65	51	42
ENSG00000006652	IFRD1	ENSG00000006652_IFRD1	1151	1027	870	1475
ENSG00000006659	LGALS14	ENSG00000006659_LGALS14	0	0	0	0
ENSG00000006695	COX10	ENSG00000006695_COX10	763	516	452	756
ENSG00000006704	GTF2IRD1	ENSG00000006704_GTF2IRD1	1953	1907	1374	1807
ENSG00000006712	PAF1	ENSG00000006712_PAF1	2604	1415	1598	2075
ENSG00000006715	VPS41	ENSG00000006715_VPS41	1663	1266	839	1369
ENSG00000006740	ARHGAP44	ENSG00000006740_ARHGAP44	188	174	120	228
ENSG00000006744	ELAC2	ENSG00000006744_ELAC2	5179	2873	2984	3487
ENSG00000006747	SCIN	ENSG00000006747_SCIN	1	0	1	4
ENSG00000006756	ARSD	ENSG00000006756_ARSD	489	495	316	467
ENSG00000006757	PNPLA4	ENSG00000006757_PNPLA4	1077	1426	656	1209
ENSG00000006788	MYH13	ENSG00000006788_MYH13	0	0	0	0
ENSG00000006831	ADIPOR2	ENSG00000006831_ADIPOR2	4878	3089	3200	4061
ENSG00000006837	CDKL3	ENSG00000006837_CDKL3	11	6	11	20
ENSG00000007001	UPP2	ENSG00000007001_UPP2	0	1	0	2
ENSG00000007038	PRSS21	ENSG00000007038_PRSS21	1353	1134	719	1049
ENSG00000007047	MARK4	ENSG00000007047_MARK4	1384	1517	930	1104
ENSG00000007062	PROM1	ENSG00000007062_PROM1	0	0	0	0
ENSG00000007080	CCDC124	ENSG00000007080_CCDC124	1945	1932	1715	1874
ENSG00000007129	CEACAM21	ENSG00000007129_CEACAM21	0	0	0	0
ENSG00000007168	PAFAH1B1	ENSG00000007168_PAFAH1B1	6387	4262	3327	5016
ENSG00000007171	NOS2	ENSG00000007171_NOS2	0	0	2	0
ENSG00000007174	DNAH9	ENSG00000007174_DNAH9	0	0	0	0
ENSG00000007202	KIAA0100	ENSG00000007202_KIAA0100	9863	5589	5018	8721
ENSG00000007216	SLC13A2	ENSG00000007216_SLC13A2	0	0	0	0
ENSG00000007237	AC005747.1	ENSG00000007237_AC005747.1	43	48	30	131
ENSG00000007255	TRAPPC6A	ENSG00000007255_TRAPPC6A	226	468	167	339
ENSG00000007264	MATK	ENSG00000007264_MATK	178	132	122	161
ENSG00000007306	CEACAM7	ENSG00000007306_CEACAM7	0	0	0	0
ENSG00000007312	CD79B	ENSG00000007312_CD79B	0	0	0	0
ENSG00000007314	SCN4A	ENSG00000007314_SCN4A	0	1	0	0
ENSG00000007341	ST7L	ENSG00000007341_ST7L	334	194	179	281
ENSG00000007350	TKTL1	ENSG00000007350_TKTL1	0	1	0	1
ENSG00000007372	PAX6	ENSG00000007372_PAX6	70	37	50	43
ENSG00000007376	RPUSD1	ENSG00000007376_RPUSD1	1509	1104	827	667
ENSG00000007384	RHBDF1	ENSG00000007384_RHBDF1	1248	1318	1047	1182
ENSG00000007392	LUC7L	ENSG00000007392_LUC7L	1167	863	813	808
ENSG00000007402	CACNA2D2	ENSG00000007402_CACNA2D2	2	6	3	11
ENSG00000007516	BAIAP3	ENSG00000007516_BAIAP3	52	349	60	327
ENSG00000007520	TSR3	ENSG00000007520_TSR3	1436	1042	972	860
ENSG00000007541	PIGQ	ENSG00000007541_PIGQ	875	479	417	174
ENSG00000007545	CRAMP1	ENSG00000007545_CRAMP1	532	384	334	437
ENSG00000007866	TEAD3	ENSG00000007866_TEAD3	2922	2741	1678	3063
ENSG00000007908	SELE	ENSG00000007908_SELE	0	0	0	0
ENSG00000007923	DNAJC11	ENSG00000007923_DNAJC11	2971	1838	1764	1705
ENSG00000007933	FMO3	ENSG00000007933_FMO3	0	0	0	0
ENSG00000007944	MYLIP	ENSG00000007944_MYLIP	899	551	387	570
ENSG00000007952	NOX1	ENSG00000007952_NOX1	0	0	0	0
ENSG00000007968	E2F2	ENSG00000007968_E2F2	433	133	125	131
ENSG00000008018	PSMB1	ENSG00000008018_PSMB1	5162	3576	3478	4320
ENSG00000008056	SYN1	ENSG00000008056_SYN1	5	17	10	20
ENSG00000008083	JARID2	ENSG00000008083_JARID2	1581	1322	842	1486
ENSG00000008086	CDKL5	ENSG00000008086_CDKL5	129	99	92	98
ENSG00000008118	CAMK1G	ENSG00000008118_CAMK1G	0	3	0	0
ENSG00000008128	CDK11A	ENSG00000008128_CDK11A	60	26	25	34
ENSG00000008130	NADK	ENSG00000008130_NADK	2027	1450	1250	1431
ENSG00000008196	TFAP2B	ENSG00000008196_TFAP2B	0	0	0	0
ENSG00000008197	TFAP2D	ENSG00000008197_TFAP2D	0	0	0	0
ENSG00000008226	DLEC1	ENSG00000008226_DLEC1	0	0	0	0
ENSG00000008256	CYTH3	ENSG00000008256_CYTH3	2235	2802	1366	2883
ENSG00000008277	ADAM22	ENSG00000008277_ADAM22	37	50	23	77
ENSG00000008282	SYPL1	ENSG00000008282_SYPL1	4166	2401	1993	2593
ENSG00000008283	CYB561	ENSG00000008283_CYB561	2364	1951	2131	2608
ENSG00000008294	SPAG9	ENSG00000008294_SPAG9	3697	2062	2098	3027
ENSG00000008300	CELSR3	ENSG00000008300_CELSR3	1032	1041	619	1094
ENSG00000008311	AASS	ENSG00000008311_AASS	292	224	267	364
ENSG00000008323	PLEKHG6	ENSG00000008323_PLEKHG6	17	59	5	41
ENSG00000008324	SS18L2	ENSG00000008324_SS18L2	622	358	451	532
ENSG00000008382	MPND	ENSG00000008382_MPND	430	352	266	347
ENSG00000008394	MGST1	ENSG00000008394_MGST1	0	0	0	0
ENSG00000008405	CRY1	ENSG00000008405_CRY1	715	543	692	1258
ENSG00000008438	PGLYRP1	ENSG00000008438_PGLYRP1	0	0	0	0
ENSG00000008441	NFIX	ENSG00000008441_NFIX	1538	1077	742	1048
ENSG00000008513	ST3GAL1	ENSG00000008513_ST3GAL1	514	185	338	400
ENSG00000008516	MMP25	ENSG00000008516_MMP25	47	151	53	168
ENSG00000008517	IL32	ENSG00000008517_IL32	12	73	17	36
ENSG00000008710	PKD1	ENSG00000008710_PKD1	1580	1418	941	811
ENSG00000008735	MAPK8IP2	ENSG00000008735_MAPK8IP2	249	375	155	307
ENSG00000008838	MED24	ENSG00000008838_MED24	3582	2729	2189	3008
ENSG00000008853	RHOBTB2	ENSG00000008853_RHOBTB2	1683	1544	1050	1530
ENSG00000008869	HEATR5B	ENSG00000008869_HEATR5B	906	407	431	412
ENSG00000008952	SEC62	ENSG00000008952_SEC62	2881	2039	1644	2470
ENSG00000008988	RPS20	ENSG00000008988_RPS20	24853	15053	18596	16016
ENSG00000009307	CSDE1	ENSG00000009307_CSDE1	21890	10265	11915	11198
ENSG00000009335	UBE3C	ENSG00000009335_UBE3C	8673	5876	4736	7284
ENSG00000009413	REV3L	ENSG00000009413_REV3L	852	353	395	488
ENSG00000009694	TENM1	ENSG00000009694_TENM1	2	4	2	0
ENSG00000009709	PAX7	ENSG00000009709_PAX7	2	0	0	0
ENSG00000009724	MASP2	ENSG00000009724_MASP2	3	1	0	1
ENSG00000009765	IYD	ENSG00000009765_IYD	0	0	0	0
ENSG00000009780	FAM76A	ENSG00000009780_FAM76A	372	306	205	268
ENSG00000009790	TRAF3IP3	ENSG00000009790_TRAF3IP3	0	0	0	0
ENSG00000009830	POMT2	ENSG00000009830_POMT2	582	443	344	418
ENSG00000009844	VTA1	ENSG00000009844_VTA1	1720	1165	1026	1399
ENSG00000009950	MLXIPL	ENSG00000009950_MLXIPL	224	510	247	396
ENSG00000009954	BAZ1B	ENSG00000009954_BAZ1B	9336	5212	4954	7897
ENSG00000010017	RANBP9	ENSG00000010017_RANBP9	1850	1313	1146	1867
ENSG00000010030	ETV7	ENSG00000010030_ETV7	61	138	22	91
ENSG00000010072	SPRTN	ENSG00000010072_SPRTN	498	257	209	290
ENSG00000010165	EEF1AKNMT	ENSG00000010165_EEF1AKNMT	1610	790	927	1370
ENSG00000010219	DYRK4	ENSG00000010219_DYRK4	519	455	465	594
ENSG00000010244	ZNF207	ENSG00000010244_ZNF207	6032	3278	3190	3618
ENSG00000010256	UQCRC1	ENSG00000010256_UQCRC1	9586	9387	6736	9643
ENSG00000010270	STARD3NL	ENSG00000010270_STARD3NL	1333	788	681	972
ENSG00000010278	CD9	ENSG00000010278_CD9	5171	6738	3341	6678
ENSG00000010282	HHATL	ENSG00000010282_HHATL	0	0	0	0
ENSG00000010292	NCAPD2	ENSG00000010292_NCAPD2	14842	3372	5678	5366
ENSG00000010295	IFFO1	ENSG00000010295_IFFO1	37	60	55	58
ENSG00000010310	GIPR	ENSG00000010310_GIPR	38	70	38	64
ENSG00000010318	PHF7	ENSG00000010318_PHF7	156	109	60	124
ENSG00000010319	SEMA3G	ENSG00000010319_SEMA3G	13	21	5	48
ENSG00000010322	NISCH	ENSG00000010322_NISCH	2257	1707	1216	1500
ENSG00000010327	STAB1	ENSG00000010327_STAB1	1	43	5	38
ENSG00000010361	FUZ	ENSG00000010361_FUZ	384	387	188	303
ENSG00000010379	SLC6A13	ENSG00000010379_SLC6A13	2	6	3	12
ENSG00000010404	IDS	ENSG00000010404_IDS	200	167	128	240
ENSG00000010438	PRSS3	ENSG00000010438_PRSS3	0	0	0	0
ENSG00000010539	ZNF200	ENSG00000010539_ZNF200	485	376	303	506
ENSG00000010610	CD4	ENSG00000010610_CD4	0	0	0	0
ENSG00000010626	LRRC23	ENSG00000010626_LRRC23	119	160	71	161
ENSG00000010671	BTK	ENSG00000010671_BTK	1	0	0	0
ENSG00000010704	HFE	ENSG00000010704_HFE	989	591	416	467
ENSG00000010803	SCMH1	ENSG00000010803_SCMH1	743	519	424	433
ENSG00000010810	FYN	ENSG00000010810_FYN	276	189	201	289
ENSG00000010818	HIVEP2	ENSG00000010818_HIVEP2	857	843	469	946
ENSG00000010932	FMO1	ENSG00000010932_FMO1	0	0	0	0
ENSG00000011007	ELOA	ENSG00000011007_ELOA	3788	1778	1903	2758
ENSG00000011009	LYPLA2	ENSG00000011009_LYPLA2	3481	2919	2375	3331
ENSG00000011021	CLCN6	ENSG00000011021_CLCN6	872	875	685	919
ENSG00000011028	AC080038.1	ENSG00000011028_AC080038.1	144	405	126	333
ENSG00000011052	NME1-NME2	ENSG00000011052_NME1-NME2	0	0	0	0
ENSG00000011083	SLC6A7	ENSG00000011083_SLC6A7	0	4	0	3
ENSG00000011105	TSPAN9	ENSG00000011105_TSPAN9	1838	2556	1229	2164
ENSG00000011114	BTBD7	ENSG00000011114_BTBD7	1424	762	782	1007
ENSG00000011132	AC005954.1	ENSG00000011132_AC005954.1	461	465	274	342
ENSG00000011143	MKS1	ENSG00000011143_MKS1	556	491	355	470
ENSG00000011198	ABHD5	ENSG00000011198_ABHD5	1041	809	766	1169
ENSG00000011201	ANOS1	ENSG00000011201_ANOS1	26	15	7	10
ENSG00000011243	AKAP8L	ENSG00000011243_AKAP8L	2055	2145	1674	2685
ENSG00000011258	MBTD1	ENSG00000011258_MBTD1	431	241	199	338
ENSG00000011260	UTP18	ENSG00000011260_UTP18	2235	1179	1275	1804
ENSG00000011275	RNF216	ENSG00000011275_RNF216	2811	2450	1821	2618
ENSG00000011295	TTC19	ENSG00000011295_TTC19	1477	1330	1094	1700
ENSG00000011304	PTBP1	ENSG00000011304_PTBP1	13692	6612	9459	8573
ENSG00000011332	DPF1	ENSG00000011332_DPF1	76	99	71	126
ENSG00000011347	SYT7	ENSG00000011347_SYT7	277	634	173	795
ENSG00000011376	LARS2	ENSG00000011376_LARS2	1692	1266	955	1671
ENSG00000011405	PIK3C2A	ENSG00000011405_PIK3C2A	2586	1433	1352	1690
ENSG00000011422	PLAUR	ENSG00000011422_PLAUR	696	392	755	1125
ENSG00000011426	ANLN	ENSG00000011426_ANLN	19610	2783	6227	4555
ENSG00000011451	WIZ	ENSG00000011451_WIZ	1775	1109	1093	1101
ENSG00000011454	RABGAP1	ENSG00000011454_RABGAP1	3201	2630	1808	3249
ENSG00000011465	DCN	ENSG00000011465_DCN	0	0	0	0
ENSG00000011478	QPCTL	ENSG00000011478_QPCTL	713	514	539	827
ENSG00000011485	PPP5C	ENSG00000011485_PPP5C	3360	1792	2143	2500
ENSG00000011523	CEP68	ENSG00000011523_CEP68	570	472	286	491
ENSG00000011566	MAP4K3	ENSG00000011566_MAP4K3	860	400	359	629
ENSG00000011590	ZBTB32	ENSG00000011590_ZBTB32	0	0	0	1
ENSG00000011600	TYROBP	ENSG00000011600_TYROBP	0	0	0	0
ENSG00000011638	TMEM159	ENSG00000011638_TMEM159	731	947	494	1249
ENSG00000011677	GABRA3	ENSG00000011677_GABRA3	229	308	141	219
ENSG00000012048	BRCA1	ENSG00000012048_BRCA1	2293	662	916	1207
ENSG00000012061	ERCC1	ENSG00000012061_ERCC1	1776	1268	1446	1426
ENSG00000012124	CD22	ENSG00000012124_CD22	16	23	4	7
ENSG00000012171	SEMA3B	ENSG00000012171_SEMA3B	1117	2074	1119	1458
ENSG00000012174	MBTPS2	ENSG00000012174_MBTPS2	873	451	324	509
ENSG00000012211	PRICKLE3	ENSG00000012211_PRICKLE3	787	683	427	565
ENSG00000012223	LTF	ENSG00000012223_LTF	0	2	1	2
ENSG00000012232	EXTL3	ENSG00000012232_EXTL3	3522	2964	1923	4040
ENSG00000012504	NR1H4	ENSG00000012504_NR1H4	0	0	0	0
ENSG00000012660	ELOVL5	ENSG00000012660_ELOVL5	5928	3079	3012	4010
ENSG00000012779	ALOX5	ENSG00000012779_ALOX5	0	1	0	1
ENSG00000012817	KDM5D	ENSG00000012817_KDM5D	0	0	0	0
ENSG00000012822	CALCOCO1	ENSG00000012822_CALCOCO1	993	1907	685	1277
ENSG00000012963	UBR7	ENSG00000012963_UBR7	2043	799	1158	1207
ENSG00000012983	MAP4K5	ENSG00000012983_MAP4K5	1581	858	833	900
ENSG00000013016	EHD3	ENSG00000013016_EHD3	371	482	273	492
ENSG00000013275	PSMC4	ENSG00000013275_PSMC4	3072	1956	2221	2337
ENSG00000013288	MAN2B2	ENSG00000013288_MAN2B2	772	1119	559	863
ENSG00000013293	SLC7A14	ENSG00000013293_SLC7A14	0	0	0	0
ENSG00000013297	CLDN11	ENSG00000013297_CLDN11	0	0	0	0
ENSG00000013306	SLC25A39	ENSG00000013306_SLC25A39	12702	7778	7485	8036
ENSG00000013364	MVP	ENSG00000013364_MVP	4973	6075	3017	3832
ENSG00000013374	NUB1	ENSG00000013374_NUB1	2363	1992	1596	2555
ENSG00000013375	PGM3	ENSG00000013375_PGM3	1197	1075	1085	1794
ENSG00000013392	RWDD2A	ENSG00000013392_RWDD2A	173	204	155	284
ENSG00000013441	CLK1	ENSG00000013441_CLK1	1414	570	774	742
ENSG00000013503	POLR3B	ENSG00000013503_POLR3B	1148	456	607	535
ENSG00000013523	ANGEL1	ENSG00000013523_ANGEL1	1676	1044	755	1432
ENSG00000013561	RNF14	ENSG00000013561_RNF14	1537	1566	990	1458
ENSG00000013563	DNASE1L1	ENSG00000013563_DNASE1L1	781	980	516	1197
ENSG00000013573	DDX11	ENSG00000013573_DDX11	1913	746	940	840
ENSG00000013583	HEBP1	ENSG00000013583_HEBP1	737	459	441	594
ENSG00000013588	GPRC5A	ENSG00000013588_GPRC5A	2148	3340	1348	4580
ENSG00000013619	MAMLD1	ENSG00000013619_MAMLD1	35	32	20	43
ENSG00000013725	CD6	ENSG00000013725_CD6	3	6	4	29
ENSG00000013810	TACC3	ENSG00000013810_TACC3	8428	1754	3047	2195
ENSG00000014123	UFL1	ENSG00000014123_UFL1	980	599	627	586
ENSG00000014138	POLA2	ENSG00000014138_POLA2	274	121	144	106
ENSG00000014164	ZC3H3	ENSG00000014164_ZC3H3	741	629	531	425
ENSG00000014216	CAPN1	ENSG00000014216_CAPN1	13201	11847	7719	9870
ENSG00000014257	ACPP	ENSG00000014257_ACPP	133	98	60	115
ENSG00000014641	MDH1	ENSG00000014641_MDH1	7278	3880	3839	4190
ENSG00000014824	SLC30A9	ENSG00000014824_SLC30A9	1562	744	777	585
ENSG00000014914	MTMR11	ENSG00000014914_MTMR11	549	540	346	504
ENSG00000014919	COX15	ENSG00000014919_COX15	899	601	428	553
ENSG00000015133	CCDC88C	ENSG00000015133_CCDC88C	250	300	54	245
ENSG00000015153	YAF2	ENSG00000015153_YAF2	225	117	104	137
